kdl_id,slug,title,author,year_display,year_sort,variety,language_code,script,subject,format,availability,source_institution,source_url,rights_type,rights_note_en,source_rights_checked,catalogue_added,archive_eligible,planned_local_path,description_en
KDL-CKB-0005,diwani-wefayi,دیوانی وەفایی,Wefayî,1902,1902,Soranî,ckb,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%DB%8C_%D9%88%DB%95%D9%81%D8%A7%DB%8C%DB%8C,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/diwani-wefayi/content.html,"A classical Kurdish poetry collection on Wikisource, with poems grouped by letter."
KDL-HAC-0001,diwani-xanay-qubadi,دیوانی خانای قوبادی,Xanay Qubadî,c. 1750,1750,Hewramî / Goranî,hac,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86%DB%8C_%D8%AE%D8%A7%D9%86%D8%A7%DB%8C_%D9%82%D9%88%D8%A8%D8%A7%D8%AF%DB%8C,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/diwani-xanay-qubadi/content.html,"A classical Gorani/Hewrami divan by Xanay Qubadî, with thematic sections on Wikisource."
KDL-DIQ-0001,lerkh-forschungen-1857,Forschungen über die Kurden und die iranischen Nordchaldäer,Petr Lerkh,1857,1857,Zazakî + Kurdish texts,diq,mixed,reference,pdf,full,Wikimedia Commons / Internet Archive,https://commons.wikimedia.org/wiki/File:Forschungen_%C3%BCber_die_Kurden_und_die_iranischen_Nordchald%C3%A4er_(IA_forschungenberd01lerkgoog).pdf,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-18,2026-09-18,True,books/lerkh-forschungen-1857/book.pdf,A 19th-century linguistic and ethnographic work containing early documented Zaza and Kurdish language material; the scan is marked public domain.
KDL-SDH-0001,shake-u-xan-mensur,دیوان شاکە و خان مەسۊر,Şake û Xan Mensur,18th c.,1750,Southern Kurdish / Kelhurî,sdh,arabic,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/%D8%AF%DB%8C%D9%88%D8%A7%D9%86_%D8%B4%D8%A7%DA%A9%DB%95_%D9%88_%D8%AE%D8%A7%D9%86_%D9%85%DB%95%D8%B3%DB%8A%D8%B1/%D9%BE%DB%95%DB%8E%DA%A9_%D9%A2,pd,The historical authors are out of copyright; a Wikisource transcription may remain under CC BY-SA.,2026-09-18,2026-09-18,True,books/shake-u-xan-mensur/content.html,"Classical Southern Kurdish (Kelhurî) poetry attributed to Şake and Xan Mensur, with texts available on Wikisource."
KDL-DIQ-0002,mewlide-nebi-xasi,Mewlıdê Nebi,Mela Ehmedê Xasi,1899,1899,Zazakî,diq,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/Mewl%C4%B1d%C3%AA_Nebi,pd,The 1899 historical work is public domain; the Wikisource transcription is available under CC BY-SA.,2026-09-18,2026-09-18,True,books/mewlide-nebi-xasi/content.html,"A major early printed Zazaki literary work by Mela Ehmedê Xasi, first printed in Diyarbakır in 1899 and readable in full on Wikisource."
KDL-KMR-0007,nubehara-bicukan,Nûbehara Biçûkan,Ehmedê Xanî,1683,1683,Kurmancî,kmr,latin,education,wiki,full,Wikisource,https://wikisource.org/wiki/N%C3%BBbehara_Bi%C3%A7%C3%BBkan,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/nubehara-bicukan/content.html,"Ehmedê Xanî’s 1683 verse Arabic–Kurdish lexicon for Kurdish children, an early Kurmanji educational and lexicographic work."
KDL-KMR-0008,mewlida-kurmanci-bateyi,Mewlîda Kurmancî,Mela Huseynê Bateyî,15th c.,1450,Kurmancî,kmr,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/Mewl%C3%AEda_Kurmanc%C3%AE,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/mewlida-kurmanci-bateyi/content.html,"A long classical Kurmanji mewlid attributed to Mela Huseynê Bateyî, preserved as a readable public-domain work on Wikisource."
KDL-KMR-0009,zembilfiros,Zembîlfiroş,Mela Huseynê Bateyî,15th c.,1450,Kurmancî,kmr,latin,folklore,wiki,full,Wikisource,https://wikisource.org/wiki/Zemb%C3%AElfiro%C5%9F,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/zembilfiros/content.html,"The classical Kurmanji narrative poem of Zembîlfiroş, attributed to Mela Huseynê Bateyî and available as a public-domain text on Wikisource."
KDL-KMR-0010,fi-beyani-el-eeqide-we-tewhid,Fî Beyanî El Eeqîde We Tewhîd,Ehmedê Xanî,17th c.,1680,Kurmancî,kmr,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/F%C3%AE_Beyan%C3%AE_El_Eeq%C3%AEde_We_Tewh%C3%AEd,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/fi-beyani-el-eeqide-we-tewhid/content.html,"A Kurmanji theological poem by Ehmedê Xanî on creed and divine unity, preserved on Wikisource as a public-domain historical work."
KDL-KMR-0011,garzoni-grammatica-vocabolario-1787,Grammatica e vocabolario della lingua Kurda,Maurizio Garzoni,1787,1787,Kurmancî / Bahdînî,kmr,latin,reference,pdf,full,Wikimedia Commons / Wellcome Collection / Internet Archive,https://commons.wikimedia.org/wiki/File:Grammatica_e_vocabolario_della_lingua_kurda_..._(IA_b28777086).pdf,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/garzoni-grammatica-vocabolario-1787/book.pdf,"Maurizio Garzoni’s 1787 grammar and vocabulary, based on Kurdish learned in the Bahdinan region. It is one of the earliest substantial printed studies of Kurdish."
KDL-KMR-0012,recueil-notices-recits-kourdes-1860,Recueil de notices et récits kourdes,Auguste Jaba & Mele Mehmûdê Bazîdî,1860,1860,Kurmancî,kmr,mixed,folklore,pdf,full,Internet Archive,https://archive.org/details/recueildenotice01jabagoog,pd,The underlying historical work is public domain because the author died more than 100 years ago. Check the source record for any terms applying to this scan.,2026-09-21,2026-09-21,True,books/recueil-notices-recits-kourdes-1860/book.pdf,"A major nineteenth-century collection of Kurmanji texts, stories and ethnographic material associated with Auguste Jaba and Mele Mehmûdê Bazîdî, with French translation and notes."
KDL-KMR-0013,dictionnaire-kurde-francais-1879,Dictionnaire Kurde-Français,Auguste Jaba; ed. Ferdinand Justi,1879,1879,Kurmancî,kmr,mixed,reference,pdf,full,Wikimedia Commons / Kurdish Institute of Paris,https://commons.wikimedia.org/wiki/File:Dictionnaire_Kurde-Fran%C3%A7ais_by_Auguste_Jaba_and_Ferdinand_Justi.pdf,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/dictionnaire-kurde-francais-1879/book.pdf,"Auguste Jaba’s large 1879 Kurdish–French dictionary, edited by Ferdinand Justi. The Kurdish Institute of Paris catalogues it as including Northern Kurdish (Kurmanji)."
KDL-KMR-0014,rhea-hakari-grammar-1872,Brief Grammar and Vocabulary of the Kurdish Language of the Hakari District,Samuel A. Rhea,1872,1872,Kurmancî / Hekarî,kmr,latin,reference,pdf,full,Internet Archive / Journal of the American Oriental Society,https://www.jstor.org/stable/592123,pd,The underlying historical work is public domain because the author died more than 100 years ago. Check the source record for any terms applying to this scan.,2026-09-21,2026-09-21,True,books/rhea-hakari-grammar-1872/book.pdf,"A nineteenth-century grammar, vocabulary and set of language specimens from the Hakkari Kurdish area, first published in the Journal of the American Oriental Society."
KDL-KMR-0015,kurdische-sammlungen-1887,Kurdische Sammlungen: Erzählungen und Lieder,Eugen Prym & Albert Socin,1887,1887,Kurmancî,kmr,latin,folklore,pdf,full,Gallica / Nevgur Kitêbxane mirror,https://gallica.bnf.fr/ark:/12148/bpt6k841758s,pd,The underlying historical work is public domain because the author died more than 100 years ago. Check the source record for any terms applying to this scan.,2026-09-21,2026-09-21,True,books/kurdische-sammlungen-1887/book.pdf,"An important collection of Kurmanji oral literature from Tur Abdin and, in later volumes, Bohtan, including stories, songs and linguistic material gathered by Eugen Prym and Albert Socin."
KDL-KMR-0016,makas-kurdische-texte-mardin-1924,Kurdische Texte im Kurmānǰī-Dialekte aus der Gegend von Mardin,Hugo Makas,1924,1924,Kurmancî / Mêrdîn,kmr,mixed,folklore,pdf,full,Kurdish Institute of Paris Digital Library,https://pmb.institutkurde.org/opac_css/index.php?lvl=notice_display&id=10175,regional,The source identifies this pre-1931 scan as public domain in the United States. Copyright status can differ by jurisdiction.,2026-09-21,2026-09-21,False,books/makas-kurdische-texte-mardin-1924/book.pdf,"A collection of Kurmanji texts from the Mardin region with transcription, translation, notes and glossary, published in 1924 and preserved by the Kurdish Institute of Paris."
KDL-KMR-0017,justi-kurdische-grammatik-1880,Kurdische Grammatik,Ferdinand Justi,1880,1880,Kurmancî + comparative Kurdish,kmr,mixed,reference,pdf,full,Internet Archive,https://archive.org/details/kurdischegramma00justgoog,pd,The underlying historical work is public domain because the author died more than 100 years ago. Check the source record for any terms applying to this scan.,2026-09-21,2026-09-21,True,books/justi-kurdische-grammatik-1880/book.pdf,Ferdinand Justi’s 1880 comparative Kurdish grammar. It draws heavily on Kurmanji examples while also comparing material from other Kurdish varieties.
KDL-KMR-0018,leyl-u-mecnun-mihemed-can,Leyl û Mecnûn,Şêx Mihemed Can,1992 edition,1992,Kurmancî,kmr,mixed,poetry,pdf,full,Nevgur Kitêbxane / Kurdish Institute of Paris,https://kiteb.nevgur.net/book/5f00s,licensed,The source states that the copyright holder authorized sharing. This is not the same as public domain and does not necessarily permit all reuse.,2026-09-21,2026-09-21,False,books/leyl-u-mecnun-mihemed-can/book.pdf,"A 352-page Kurmanji verse telling of Leyl and Mecnûn, by the classical Kurdish poet Şêx Mihemed Can. This 1992 edition presents the work in Latin and Kurdish Arabic scripts."
KDL-KMR-0019,bersise-abid,Bersîsê ‘Abid,Feqiyê Teyran,classical / undated,1650,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Bers%C3%AEs%C3%AA_%E2%80%98Abid,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-21,2026-09-21,True,books/bersise-abid/content.html,"A long classical Kurmanji narrative poem by Feqiyê Teyran, telling the cautionary story of the ascetic Bersîs."
KDL-KMR-0020,ballade-kurde-1859,Ballade kurde,Auguste Jaba & Piotr Tchikhatchov,1859,1859,Kurmancî + French,kmr,mixed,poetry,pdf,full,Nevgur Kitêbxane,https://kiteb.nevgur.net/book/1210a,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/ballade-kurde-1859/book.pdf,"An 1859 Kurdish ballad publication from Paris, presenting Kurmanji alongside French in a compact historical edition."
KDL-KMR-0021,kurdische-texte-transkription-1903,Kurdische Texte — Die Texte in Transkription,Albert von Le Coq,1903,1903,Kurmancî + Zazakî + Soranî,kmr,latin,folklore,pdf,full,Nevgur Kitêbxane / Kurdish Institute of Paris,https://kiteb.nevgur.net/book/ye18k,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/kurdische-texte-transkription-1903/book.pdf,"The transcription volume of Albert von Le Coq’s 1903 Kurdish text collection, containing Kurmanji stories and songs alongside Zazaki and other Kurdish material."
KDL-KMR-0022,abecedaire-kurde-1868,Abécédaire Kurde / Rûpela zarokan,Mele Mehmûdê Bazîdî,1868,1868,Kurmancî,kmr,arabic,education,pdf,full,Nevgur Kitêbxane,https://kiteb.nevgur.net/book/fekra,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/abecedaire-kurde-1868/book.pdf,"A rare 1868 Kurmanji children’s primer associated with Mele Mehmûdê Bazîdî, preserved in Kurdish Arabic script and historically part of the Alexander Jaba collection."
KDL-KMR-0023,feqiye-teyran-u-quling,Feqiyê Teyran û Quling,Feqiyê Teyran,classical / undated,1650,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Feqiy%C3%AA_Teyran_%C3%BB_Quling,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-21,2026-09-21,True,books/feqiye-teyran-u-quling/content.html,A classical Kurmanji poem in which Feqiyê Teyran addresses a crane as a travelling messenger and companion.
KDL-KMR-0024,feqiye-teyran-u-roj,Feqiyê Teyran û Roj,Feqiyê Teyran,classical / undated,1650,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Feqiy%C3%AA_Teyran_%C3%BB_Roj,pd,The historical work is public domain; Wikisource text is available under CC BY-SA.,2026-09-21,2026-09-21,True,books/feqiye-teyran-u-roj/content.html,"A classical Kurmanji poem by Feqiyê Teyran addressing the sun and reflecting on nature, life and creation."
KDL-KMR-0025,melaye-ciziri-hartmann-facsimile-1904,Dîwana Melayê Cizîrî · 1904 facsimile,Melayê Cizîrî; ed. Martin Hartmann,1904 edition,1904,Kurmancî,kmr,arabic,poetry,pdf,full,Nevgur Kitêbxane / Internet Archive,https://kiteb.nevgur.net/book/20znk,pd,The source file is marked public domain or free of known copyright restrictions by Wikimedia Commons or the source archive.,2026-09-21,2026-09-21,True,books/melaye-ciziri-hartmann-facsimile-1904/book.pdf,"A 222-page 1904 Berlin facsimile edition of Melayê Cizîrî’s divan in Kurdish Arabic script, with a German prefatory contribution by Martin Hartmann."
KDL-KMR-0026,derd-u-dax-im,Derd û Dax im,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Derd_%C3%BB_Dax_im,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/derd-u-dax-im/content.html,"A short classical Kurmanji lyric by Mela Huseynê Bateyî, centered on longing, love and the pain of separation."
KDL-KMR-0027,di-nav-qewme-xerib,Di Nav Qewmê Xerîb,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Di_Nav_Qewm%C3%AA_Xer%C3%AEb,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/di-nav-qewme-xerib/content.html,"A classical Kurmanji poem of exile and estrangement, repeatedly returning to the image of living among strangers."
KDL-KMR-0028,el-wefayi-wesla-canan,El Wefayî Wesla Canan Xemzîdara Min,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/El_Wefay%C3%AE_Wesla_Canan_Xemz%C3%AEdara_Min,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/el-wefayi-wesla-canan/content.html,A love lyric by Bateyî built around waiting for the beloved and the emotional imagery of separation.
KDL-KMR-0029,ey-nete-tu,Ey Netê Tû,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/Ey_Net%C3%AA_T%C3%BB,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/ey-nete-tu/content.html,"A devotional Kurmanji poem praising the Prophet, written in Bateyî’s ornate classical style."
KDL-KMR-0030,ger-tu-nazik-sorgul-i,Ger Tu Nazik Sorgul î,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Ger_Tu_Nazik_Sorgul_%C3%AE,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/ger-tu-nazik-sorgul-i/content.html,A compact classical love poem comparing the beloved to a red rose and the speaker to a nightingale and moth.
KDL-KMR-0031,ji-cirya-pasi-pe-da,Ji Çirya Paşî Pê Da,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Ji_%C3%87irya_Pa%C5%9F%C3%AE_P%C3%AA_Da,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/ji-cirya-pasi-pe-da/content.html,"A vivid Kurmanji winter poem connected with Bateyî’s journey toward Miks, full of snow, fog, cold and landscape imagery."
KDL-KMR-0032,qiblegeha-asiqan-ke-yi-tu,Qiblegeha Aşiqan (Kê Yî Tu),Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,poetry,wiki,full,Wikisource,https://wikisource.org/wiki/Qiblegeha_A%C5%9Fiqan_%28K%C3%AA_Y%C3%AE_Tu%29,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/qiblegeha-asiqan-ke-yi-tu/content.html,"An elaborate classical Kurmanji love poem rich in garden, celestial and mystical imagery."
KDL-KMR-0033,subhan-ji-mire-qadiri,Subhan Ji Mîrê Qadirî,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/Subhan_Ji_M%C3%AEr%C3%AA_Qadir%C3%AE,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/subhan-ji-mire-qadiri/content.html,"A long devotional Kurmanji poem on divine power, creation and praise, attributed to Mela Huseynê Bateyî."
KDL-KMR-0034,ya-reb-hawar,Ya Reb Hawar,Mela Huseynê Bateyî,15th century,1450,Kurmancî,kmr,latin,religious,wiki,full,Wikisource,https://wikisource.org/wiki/Ya_Reb_Hawar,pd,Underlying historical work is public domain because the author died more than 100 years ago. A Wikisource transcription may carry CC BY-SA attribution requirements.,2026-09-21,2026-09-21,True,books/ya-reb-hawar/content.html,"A devotional Kurmanji supplication by Bateyî, structured around the refrain asking God for aid and healing."
KDL-KMR-0035,makas-kurdische-studien-1900,Kurdische Studien,Hugo Makas,1900,1900,Kurmancî,kmr,latin,folklore,pdf,full,Internet Archive (1900 Heidelberg edition),https://archive.org/details/kurdischestudie00makagoog,pd,The underlying historical work is public domain because the author died more than 100 years ago. Check the source record for any terms applying to this scan.,2026-09-24,2026-09-24,True,books/makas-kurdische-studien-1900/book.pdf,"A 1900 edition of Kurdish texts: a Diyarbakır dialect sample, a Gawar poem and Yazidi prayers, with German commentary."
KDL-KMR-0036,neo-aramaic-kurdish-folklore-2022-v1,Neo-Aramaic and Kurdish Folklore from Northern Iraq · Vol. 1,"Geoffrey Khan, Masoud Mohammadirad, Dorota Molin & Paul M. Noorlander",2022,2022,Kurmancî + Soranî + Neo-Aramaic,kmr,latin,folklore,pdf,full,Open Book Publishers,https://www.openbookpublishers.com/books/10.11647/obp.0306,licensed,The publisher licenses the text under CC BY-NC 4.0. Some images have separate permissions; consult the publisher before reusing them. The PDF is linked from the publisher and is not mirrored here.,2026-09-24,2026-09-24,False,,The first volume introduces shared oral traditions and provides glossed samples of Northern and Central Kurdish alongside Neo-Aramaic. Free publisher PDF; some images have separate reuse terms.
KDL-KMR-0037,neo-aramaic-kurdish-folklore-2022-v2,Neo-Aramaic and Kurdish Folklore from Northern Iraq · Vol. 2,"Geoffrey Khan, Masoud Mohammadirad, Dorota Molin & Paul M. Noorlander",2022,2022,Kurmancî + Soranî + Neo-Aramaic,kmr,latin,folklore,pdf,full,Open Book Publishers,https://www.openbookpublishers.com/books/10.11647/obp.0307,licensed,The publisher licenses the text under CC BY-NC 4.0. Some images have separate permissions; consult the publisher before reusing them. The PDF is linked from the publisher and is not mirrored here.,2026-09-24,2026-09-24,False,,"A comparative story anthology in Northern and Central Kurdish and Neo-Aramaic, with English translations. Includes a contemporary Zanbilfirosh telling. Free publisher PDF; images may have separate terms."
